indiv,species,location
indiv3,m_hyp,lincoln
indiv4,m_aeth_m,lincoln
indiv5,m_aeth_m,lincoln
indiv11,m_hyp,lincoln
indiv12,m_hyp,lincoln
indiv14,m_hyp,lincoln
indiv27,m_aeth_m,lincoln
indiv28,m_hyp,lincoln
indiv29,m_hyp,lincoln
indiv33,m_hyp,ruakura
indiv34,m_hyp,lincoln
indiv35,m_hyp,lincoln
indiv36,m_hyp,ruakura
indiv37,m_aeth_m,lincoln
indiv38,m_hyp,ruakura
indiv39,m_hyp,lincoln
indiv40,m_hyp,lincoln
indiv41,m_aeth_m,lincoln
indiv42,m_hyp,lincoln
indiv43,m_hyp,lincoln
indiv44,m_aeth_m,lincoln
indiv45,m_hyp,ruakura
indiv46,m_hyp,ruakura
indiv47,m_hyp,ruakura
indiv48,m_hyp,lincoln
indiv50,m_hyp,lincoln
indiv51,m_hyp,lincoln
indiv52,m_hyp,lincoln
indiv53,m_hyp,lincoln
indiv54,m_hyp,lincoln
indiv55,m_hyp,lincoln
indiv56,m_aeth_m,lincoln
indiv57,m_hyp,lincoln
indiv58,m_hyp,lincoln
indiv59,m_hyp,lincoln
indiv60,m_aeth_m,lincoln
indiv61,m_hyp,lincoln
indiv63,m_hyp,lincoln
indiv65,m_hyp,lincoln
indiv67,m_hyp,lincoln
indiv68,m_aeth_m,lincoln
indiv69,m_aeth_m,lincoln
indiv70,m_aeth_m,lincoln
indiv72,m_hyp,lincoln
indiv73,m_hyp,ruakura
indiv75,m_aeth_m,lincoln
indiv76,m_aeth_m,lincoln
indiv77,m_hyp,lincoln
indiv78,m_hyp,lincoln
indiv79,m_hyp,lincoln
indiv81,m_hyp,lincoln
indiv82,m_hyp,lincoln
indiv83,m_hyp,lincoln
indiv84,m_hyp,lincoln
indiv85,m_hyp,lincoln
indiv86,m_aeth_m,lincoln
indiv87,m_aeth_m,lincoln
indiv88,m_aeth_m,lincoln
indiv90,m_hyp,ruakura
